Address_raw,Price_raw,street,suburb,state,postcode,Price_numeric,full_address
WILMOT TAS 7310,Expression of Interest - Close July 30th at 5pm,WILMOT TAS 7310,NA,NA,NA,NA,WILMOT TAS 7310 NA NA NA Australia
"93 Douglas Road, LEFROY TAS 7252","OFFERS OVER $995,000",93 Douglas Road,Lefroy,TAS,7252,NA,93 Douglas Road Lefroy TAS 7252 Australia
"120 Tip Road, NUBEENA TAS 7184","Offers Around $598,000",120 Tip Road,Nubeena,TAS,7184,NA,120 Tip Road Nubeena TAS 7184 Australia
"120 Russells Plains Road, ROCHERLEA TAS 7248","$550,000",120 Russells Plains Road,Rocherlea,TAS,7248,NA,120 Russells Plains Road Rocherlea TAS 7248 Australia
"3 Stevenson Road, LOWER BARRINGTON TAS 7306","Offers Over $799,000",3 Stevenson Road,Lower Barrington,TAS,7306,NA,3 Stevenson Road Lower Barrington TAS 7306 Australia
"121 Saunders Drive, HADSPEN TAS 7290",Offers Over $1.695 Million,121 Saunders Drive,Hadspen,TAS,7290,1695000,121 Saunders Drive Hadspen TAS 7290 Australia
"921 Back River Road, MAGRA TAS 7140","Offers over $395,000",921 Back River Road,Magra,TAS,7140,NA,921 Back River Road Magra TAS 7140 Australia
"3470 North Road, EGG LAGOON TAS 7256",Expressions of Interest,3470 North Road,Egg Lagoon,TAS,7256,NA,3470 North Road Egg Lagoon TAS 7256 Australia
"729 Circular Road, RIDGLEY TAS 7321",Please contact the agent,729 Circular Road,Ridgley,TAS,7321,NA,729 Circular Road Ridgley TAS 7321 Australia
"Lot 2 Sand River Road, BUCKLAND TAS 7190","Offers over $350,000",Lot 2 Sand River Road,Buckland,TAS,7190,NA,Lot 2 Sand River Road Buckland TAS 7190 Australia
"1 Barnard Drive, BICHENO TAS 7215","O/O $1,250,000",1 Barnard Drive,Bicheno,TAS,7215,NA,1 Barnard Drive Bicheno TAS 7215 Australia
YOLLA TAS 7325,"Offers over $450,000",YOLLA TAS 7325,NA,NA,NA,NA,YOLLA TAS 7325 NA NA NA Australia
"510 Lower Beulah Road, LOWER BEULAH TAS 7306","Offers over $790,000",510 Lower Beulah Road,Lower Beulah,TAS,7306,NA,510 Lower Beulah Road Lower Beulah TAS 7306 Australia
"PID 3118936 Palana Road, WHITEMARK TAS 7255","$495,000",PID 3118936 Palana Road,Whitemark,TAS,7255,NA,PID 3118936 Palana Road Whitemark TAS 7255 Australia
"25851 Tasman Highway, ST HELENS TAS 7216",Contact Agent,25851 Tasman Highway,St Helens,TAS,7216,NA,25851 Tasman Highway St Helens TAS 7216 Australia
". Victoria Valley Road, DEE TAS 7140",Expressions of Interest,. Victoria Valley Road,Dee,TAS,7140,NA,. Victoria Valley Road Dee TAS 7140 Australia
"""Kheme Hill"" Eastwood Road, YORK PLAINS TAS 7120","$975,000","""Kheme Hill"" Eastwood Road",York Plains,TAS,7120,NA,"""Kheme Hill"" Eastwood Road York Plains TAS 7120 Australia"
"206 Twin Creeks Road, MENGHA TAS 7330",Expressions Of Interest,206 Twin Creeks Road,Mengha,TAS,7330,NA,206 Twin Creeks Road Mengha TAS 7330 Australia
"141 Sledge Track, WEST SCOTTSDALE TAS 7260",Offers Over $1.85M,141 Sledge Track,West Scottsdale,TAS,7260,1850000,141 Sledge Track West Scottsdale TAS 7260 Australia
"PID 6423792 Fairhaven Road, MEMANA TAS 7255","$280,000 Negotiable",PID 6423792 Fairhaven Road,Memana,TAS,7255,NA,PID 6423792 Fairhaven Road Memana TAS 7255 Australia
"523 Yarlington Road, COLEBROOK TAS 7027","$1,250,000",523 Yarlington Road,Colebrook,TAS,7027,NA,523 Yarlington Road Colebrook TAS 7027 Australia
"21 Waterson Lane, CARLTON TAS 7173",Contact Agent,21 Waterson Lane,Carlton,TAS,7173,NA,21 Waterson Lane Carlton TAS 7173 Australia
"678 Pegarah Road, PEGARAH TAS 7256",Expressions of Interest,678 Pegarah Road,Pegarah,TAS,7256,NA,678 Pegarah Road Pegarah TAS 7256 Australia
"Lot 2, 357 Don Kendell Drive, LOORANA TAS 7256","$825,000",Lot 2,"357 Don Kendell Drive, Loorana",TAS,7256,NA,"Lot 2 357 Don Kendell Drive, Loorana TAS 7256 Australia"
"2156 Huon Road, LOWER LONGLEY TAS 7109",Offers Over $1.7 Million,2156 Huon Road,Lower Longley,TAS,7109,1700000,2156 Huon Road Lower Longley TAS 7109 Australia
"148 Holmes Road, ROLAND TAS 7306","$852,000 - ($5,500 per acre)",148 Holmes Road,Roland,TAS,7306,NA,148 Holmes Road Roland TAS 7306 Australia
"152 Whitsitts Road, WYNYARD TAS 7325","Offers Over $1,800,000",152 Whitsitts Road,Wynyard,TAS,7325,NA,152 Whitsitts Road Wynyard TAS 7325 Australia
"Lot 3 Waddamana Road, WADDAMANA TAS 7030","Offers Over $340,000",Lot 3 Waddamana Road,Waddamana,TAS,7030,NA,Lot 3 Waddamana Road Waddamana TAS 7030 Australia
EVANDALE TAS 7212,EOI,EVANDALE TAS 7212,NA,NA,NA,NA,EVANDALE TAS 7212 NA NA NA Australia
"1390 Loongana Road, LOONGANA TAS 7315",Expressions of Interest,1390 Loongana Road,Loongana,TAS,7315,NA,1390 Loongana Road Loongana TAS 7315 Australia
"16797 Bass Highway, FLOWERDALE TAS 7325",Expressions of Interest,16797 Bass Highway,Flowerdale,TAS,7325,NA,16797 Bass Highway Flowerdale TAS 7325 Australia
"511 Backline Road, FOREST TAS 7330",Expressions of Interest,511 Backline Road,Forest,TAS,7330,NA,511 Backline Road Forest TAS 7330 Australia
"Lot 2 Tongs Road, PRESTON TAS 7315","$890,000",Lot 2 Tongs Road,Preston,TAS,7315,NA,Lot 2 Tongs Road Preston TAS 7315 Australia
". Powers Road, PYENGANA TAS 7216",Expressions of Interest,. Powers Road,Pyengana,TAS,7216,NA,. Powers Road Pyengana TAS 7216 Australia
"47 Haas Road, LEGERWOOD TAS 7263","$1,150,000",47 Haas Road,Legerwood,TAS,7263,NA,47 Haas Road Legerwood TAS 7263 Australia
"36 Reids Road, IRISHTOWN TAS 7330",Expressions of Interest,36 Reids Road,Irishtown,TAS,7330,NA,36 Reids Road Irishtown TAS 7330 Australia
"Lot 5 West End Road, LEEKA TAS 7255","$595,000",Lot 5 West End Road,Leeka,TAS,7255,NA,Lot 5 West End Road Leeka TAS 7255 Australia
"150 Hjorts Road, LOIRA TAS 7275","$1,550,000 W.I.W.O. - Price Revised",150 Hjorts Road,Loira,TAS,7275,NA,150 Hjorts Road Loira TAS 7275 Australia
"245 Smarts Road, MOUNT HICKS TAS 7325","Two Lots available, buy one or buy both",245 Smarts Road,Mount Hicks,TAS,7325,NA,245 Smarts Road Mount Hicks TAS 7325 Australia
"Lot 3 Leona Road, AVOCA TAS 7213","$360,000 Price adjustment",Lot 3 Leona Road,Avoca,TAS,7213,NA,Lot 3 Leona Road Avoca TAS 7213 Australia
"Lots 1,2 &5 West Tamar Highway, LOIRA TAS 7275","Lot 4 & 5 $290,000 each Lot 1 $400,000",Lots 1,"2 &5 West Tamar Highway, Loira",TAS,7275,NA,"Lots 1 2 &5 West Tamar Highway, Loira TAS 7275 Australia"
"167 Adams Road, LEBRINA TAS 7254","Offers over $3,000,000 + P&E + S.A.V.",167 Adams Road,Lebrina,TAS,7254,NA,167 Adams Road Lebrina TAS 7254 Australia
"34 Watts Road, PARADISE TAS 7306","Price Revision - $800,000",34 Watts Road,Paradise,TAS,7306,NA,34 Watts Road Paradise TAS 7306 Australia
"161 Back Creek Road, PIPERS RIVER TAS 7252","$2,500,000 - $2,600,000",161 Back Creek Road,Pipers River,TAS,7252,NA,161 Back Creek Road Pipers River TAS 7252 Australia
"54 Thorpe Road, CRABTREE TAS 7109","Offers Over $1,850,000",54 Thorpe Road,Crabtree,TAS,7109,NA,54 Thorpe Road Crabtree TAS 7109 Australia
"242 Boddingtons Road, BRIDPORT TAS 7262",Expressions Of Interest,242 Boddingtons Road,Bridport,TAS,7262,NA,242 Boddingtons Road Bridport TAS 7262 Australia
"76 Goodwins Road, MANGALORE TAS 7030",Expressions of Interest by 2nd October 2025,76 Goodwins Road,Mangalore,TAS,7030,NA,76 Goodwins Road Mangalore TAS 7030 Australia
"424 & L2/636 Summerleas Road, FERN TREE TAS 7054","Offers Over $3,900,000",424 & L2/636 Summerleas Road,Fern Tree,TAS,7054,NA,424 & L2/636 Summerleas Road Fern Tree TAS 7054 Australia
"329 Arthurs Lake Rd, ARTHURS LAKE TAS 7030",Contact Agent,329 Arthurs Lake Rd,Arthurs Lake,TAS,7030,NA,329 Arthurs Lake Rd Arthurs Lake TAS 7030 Australia
"111 Nubeena Road, TARANNA TAS 7180","$1,295,000",111 Nubeena Road,Taranna,TAS,7180,NA,111 Nubeena Road Taranna TAS 7180 Australia
"19 Central Castra Road, SPRENT TAS 7315",Offers Over $849k,19 Central Castra Road,Sprent,TAS,7315,849000,19 Central Castra Road Sprent TAS 7315 Australia
"105 Saltwood Road, PIPERS BROOK TAS 7254",Expression of Interest,105 Saltwood Road,Pipers Brook,TAS,7254,NA,105 Saltwood Road Pipers Brook TAS 7254 Australia
"423 Slab Road, CYGNET TAS 7112","Offers Over $2,180,000",423 Slab Road,Cygnet,TAS,7112,NA,423 Slab Road Cygnet TAS 7112 Australia
"172 Mcguires Marsh Road, OSTERLEY TAS 7140","Starting from $90,000 for each block",172 Mcguires Marsh Road,Osterley,TAS,7140,NA,172 Mcguires Marsh Road Osterley TAS 7140 Australia
"PID 7305093 West End Road, LEEKA TAS 7255","$650,000",PID 7305093 West End Road,Leeka,TAS,7255,NA,PID 7305093 West End Road Leeka TAS 7255 Australia
"1561 Dennistoun Road, BOTHWELL TAS 7030",Expressions of Interest,1561 Dennistoun Road,Bothwell,TAS,7030,NA,1561 Dennistoun Road Bothwell TAS 7030 Australia
"223 Pollards Road, ROCKY CAPE TAS 7321",$1.3 Million,223 Pollards Road,Rocky Cape,TAS,7321,1300000,223 Pollards Road Rocky Cape TAS 7321 Australia
"78 Cethana Road, CETHANA TAS 7306","$950,000",78 Cethana Road,Cethana,TAS,7306,NA,78 Cethana Road Cethana TAS 7306 Australia
". Truelands Road, CAMPBELL TOWN TAS 7210","$550,000",. Truelands Road,Campbell Town,TAS,7210,NA,. Truelands Road Campbell Town TAS 7210 Australia
"Lot 3 Boat Harbour Road, KILLIECRANKIE TAS 7255","$995,000",Lot 3 Boat Harbour Road,Killiecrankie,TAS,7255,NA,Lot 3 Boat Harbour Road Killiecrankie TAS 7255 Australia
". Sawyers Bay Road, EMITA TAS 7255","$630,000",. Sawyers Bay Road,Emita,TAS,7255,NA,. Sawyers Bay Road Emita TAS 7255 Australia
"129 & 131 Bens Hill Road, MONTAGU TAS 7330",Expressions of Interest,129 & 131 Bens Hill Road,Montagu,TAS,7330,NA,129 & 131 Bens Hill Road Montagu TAS 7330 Australia
"2118 Lyell Highway, HAYES TAS 7140","Offers over $2,250,000",2118 Lyell Highway,Hayes,TAS,7140,NA,2118 Lyell Highway Hayes TAS 7140 Australia
"210 Briggs Road, HONEYWOOD TAS 7017","$2,700,000",210 Briggs Road,Honeywood,TAS,7017,NA,210 Briggs Road Honeywood TAS 7017 Australia
"1 - 4 Red Hut Road, LYMWOOD TAS 7256","925,000.00",1 - 4 Red Hut Road,Lymwood,TAS,7256,NA,1 - 4 Red Hut Road Lymwood TAS 7256 Australia
"17 Walkers Road, ROCKY CAPE TAS 7321",Expression of Interest,17 Walkers Road,Rocky Cape,TAS,7321,NA,17 Walkers Road Rocky Cape TAS 7321 Australia
"611 Montumana Road, MONTUMANA TAS 7321",Expression of Interest,611 Montumana Road,Montumana,TAS,7321,NA,611 Montumana Road Montumana TAS 7321 Australia
"101 Pateena Road, TRAVELLERS REST TAS 7250",Contact Agent,101 Pateena Road,Travellers Rest,TAS,7250,NA,101 Pateena Road Travellers Rest TAS 7250 Australia
"12 South Street, LULWORTH TAS 7252",Offers Over $1M,12 South Street,Lulworth,TAS,7252,1000000,12 South Street Lulworth TAS 7252 Australia
"86 Rothwells Road, SISTERS CREEK TAS 7325",Offered as a whole or part purchase,86 Rothwells Road,Sisters Creek,TAS,7325,NA,86 Rothwells Road Sisters Creek TAS 7325 Australia
"369 Memana Road, WHITEMARK TAS 7255","$820,000 Negotiable",369 Memana Road,Whitemark,TAS,7255,NA,369 Memana Road Whitemark TAS 7255 Australia
"45 Eddington Road, BAGDAD TAS 7030","Offers Over $3,500,000",45 Eddington Road,Bagdad,TAS,7030,NA,45 Eddington Road Bagdad TAS 7030 Australia
"174 Fabers Road, RIANA TAS 7316","$2,000,000",174 Fabers Road,Riana,TAS,7316,NA,174 Fabers Road Riana TAS 7316 Australia
"2319 Murchison Highway, HENRIETTA TAS 7325",Expressions of Interest,2319 Murchison Highway,Henrietta,TAS,7325,NA,2319 Murchison Highway Henrietta TAS 7325 Australia
"Part of 1360 Kindred Road, KINDRED TAS 7310",Expressions Of Interest,Part of 1360 Kindred Road,Kindred,TAS,7310,NA,Part of 1360 Kindred Road Kindred TAS 7310 Australia
